"literature_type","runtimes_count","runtime_freq","runtime_rel_freq"
"academic",1,43,84.3137254901961
"academic",2,4,7.84313725490196
"academic",3,2,3.92156862745098
"academic",5,2,3.92156862745098
"grey",1,33,54.0983606557377
"grey",2,13,21.3114754098361
"grey",3,2,3.27868852459016
"grey",4,3,4.91803278688525
"grey",5,5,8.19672131147541
"grey",6,3,4.91803278688525
"grey",7,2,3.27868852459016
